"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_38638.mRNA1",35.9255688969277,2.48954754844748,0.510400207884037,4.79743643408843,1.60709185734383e-06,0.000498098032535502
"Mlu_41620.mRNA1",258.508898342963,-1.61330327369885,0.336661261380053,-4.77940944087424,1.75810838058089e-06,0.000540081559425702
"Mlu_28047.mRNA1",290.501518411729,-2.16017937769316,0.594728445965907,-4.76797913708254,1.86083048084836e-06,0.000566622881418324
"Mlu_18090.mRNA1",272.427089564086,-1.09519639325216,0.230516166843686,-4.75059357524644,2.02820411278304e-06,0.000609166168498449
"Mlu_33035.mRNA1",56.5123583923745,2.13517211273067,0.450456332637875,4.74985326565939,2.03564300250108e-06,0.000609166168498449
"Mlu_24964.mRNA1",218.340758483804,-1.66561896395198,0.349550927448255,-4.7475377726224,2.05907944288849e-06,0.000610913031632376
"Mlu_25563.mRNA1",185.446868855505,-1.22921983987169,0.259232942954943,-4.74342141692747,2.10138482599149e-06,0.000618181114107139
"Mlu_45821.mRNA1",535.485036474034,-1.16118166508031,0.244968967742975,-4.73967341736589,2.14062959148051e-06,0.000619230625075523
"Mlu_46233.mRNA1",215.820115407751,-1.22605166302262,0.25848941661147,-4.74108822463088,2.12573334681409e-06,0.000619230625075523
"Mlu_07606.mRNA1",185.555592279927,2.59270822847288,0.604841687046669,4.73399419167755,2.20144028600131e-06,0.00063155864998317
"Mlu_29960.mRNA1",274.845604077644,2.50795234300905,0.52558077269189,4.71650931954212,2.39925382226333e-06,0.000682666376493664
"Mlu_11051.mRNA1",865.618625713567,1.04926737786128,0.222539770340698,4.7138867794218,2.43035738365592e-06,0.000685894275275187
"Mlu_12200.mRNA1",81.5239538816046,1.49831178818256,0.315583984305431,4.7084279699528,2.49634547796583e-06,0.000698835811101838
"Mlu_44844.mRNA1",1625.34251421037,-0.72092195855499,0.153242027558261,-4.70412731038422,2.54954126965514e-06,0.00070801780874831
"Mlu_42797.mRNA1",16.4786102841438,2.7260144991103,0.550143506663211,4.69286791961874,2.69401434005283e-06,0.000742200950684555
"Mlu_18475.mRNA1",28.381625479813,2.31413366674936,0.480777498169418,4.6797627365971,2.87207091332888e-06,0.000785025178066026
"Mlu_37091.mRNA1",47.6010953008605,-1.96888262254705,0.41697637679781,-4.67803096040546,2.89642821185442e-06,0.000785497754047677
"Mlu_45696.mRNA1",139.449216540627,1.13420496482525,0.24342985482217,4.66748761901581,3.04905116585679e-06,0.000820478396282067
"Mlu_21842.mRNA1",190.867270672566,2.76091970547638,0.586527121560199,4.65038638837151,3.31313719666953e-06,0.000884684088522994
"Mlu_00267.mRNA1",31.5359716173889,2.72398905229345,0.559892824874331,4.64247850765289,3.44254457847936e-06,0.000905310984490561
"Mlu_10547.mRNA1",519.503109202668,1.0730472173828,0.231029180763857,4.6432327345675,3.42999604850983e-06,0.000905310984490561
"Mlu_12943.mRNA1",2142.045877593,-1.34828732417868,0.290978984673066,-4.63115139158269,3.63637852756281e-06,0.000949094795693892
"Mlu_43725.mRNA1",26.2269876049135,2.72875047053324,0.567720095147197,4.61649281715003,3.90279524271382e-06,0.00101102784522631
"Mlu_15761.mRNA1",23.6609881608497,2.57773575091408,0.537697332193098,4.60324260370258,4.159632039033e-06,0.00106337567434013
"Mlu_29174.mRNA1",505.010047356047,-1.10693921232002,0.240672458880694,-4.60139188857778,4.19676972271476e-06,0.00106337567434013
"Mlu_39480.mRNA1",221.154910716832,1.57108606956581,0.341215218431203,4.60166023044143,4.19136536978501e-06,0.00106337567434013
"Mlu_39743.mRNA1",108.070382512327,-1.56633112319225,0.339556317120597,-4.59319278355832,4.3651545833777e-06,0.0010980261670492
"Mlu_02012.mRNA1",252.907302207073,1.40795700144767,0.306235909428214,4.58937759300735,4.44569604916212e-06,0.00110231033538975
"Mlu_32548.mRNA1",699.878159687831,-1.21270521764137,0.26407713475675,-4.58965790672701,4.43973028707513e-06,0.00110231033538975
"Mlu_19531.mRNA1",457.71635692648,2.73685717504602,0.592619799084356,4.57970739993873,4.65626865725144e-06,0.0011382609429519
"Mlu_21907.mRNA1",70.3590579053268,-1.72697166906053,0.376852230946824,-4.58010089930581,4.647516654984e-06,0.0011382609429519
"Mlu_26912.mRNA1",162.585728790665,1.81008103340771,0.393571965414818,4.56689365709275,4.9500497298423e-06,0.0011911840608628
"Mlu_31418.mRNA1",15.1243030963066,2.79411761849056,0.570763636470112,4.56779840798132,4.92873711043278e-06,0.0011911840608628
"Mlu_35379.mRNA1",5415.62377365067,-1.03652655596009,0.226973403856398,-4.56580943985606,4.97570618572597e-06,0.0011911840608628
"Mlu_02418.mRNA1",264.699491065192,0.934184293921532,0.205466802239195,4.5477553763835,5.42211066012474e-06,0.00127174140097912
"Mlu_15613.mRNA1",2178.61310652179,-1.14081330140932,0.250843266113999,-4.54803348272123,5.41495219443412e-06,0.00127174140097912
"Mlu_33865.mRNA1",47.3306276673948,2.17503791168148,0.470085847267556,4.55033056147905,5.35617033991382e-06,0.00127174140097912
"Mlu_35375.mRNA1",52.1735917202646,1.58961119630419,0.346521496955273,4.5452803287341,5.48621881535252e-06,0.00127814170293512
"Mlu_46587.mRNA1",912.311128183502,0.773301898397269,0.17036108958362,4.53980700876478,5.63057411163518e-06,0.00130302746091461
"Mlu_45017.mRNA1",262.51447773718,-1.23297561570251,0.271933786917534,-4.5288324399566,5.93105085290739e-06,0.00136347396196672
"Mlu_27513.mRNA1",15.0502388716027,3.03695862663029,0.60180578789192,4.51229411485154,6.41301751111427e-06,0.00146457287410072
"Mlu_25803.mRNA1",148.892909761362,-1.48022491474621,0.326790133364567,-4.49962134260428,6.80746129156538e-06,0.00154449283538633
"Mlu_06359.mRNA1",48.0980432069558,1.66760570172991,0.368338610145039,4.49243929571396,7.04119924021642e-06,0.00156764460540854
"Mlu_08305.mRNA1",489.716829367799,1.21308180642113,0.27010243790544,4.49290061040541,7.0259580311701e-06,0.00156764460540854
"Mlu_21839.mRNA1",212.152712130944,1.26782717582313,0.281968290853517,4.49232486306437,7.04498483115063e-06,0.00156764460540854
"Mlu_21773.mRNA1",115.233542466278,-1.61079418346281,0.356906347811794,-4.48909622521695,7.15259845588299e-06,0.00158145318598131
"Mlu_16872.mRNA1",11.6933515172262,3.06485886250344,0.586716812113023,4.47699374738308,7.57014657375151e-06,0.00166318036718124
"Mlu_00577.mRNA1",15.5100038332683,-2.97119590044016,0.593575922668948,-4.47130682879071,7.77430636672088e-06,0.00169729243338353
"Mlu_03536.mRNA1",56.7997040549431,1.75290430883755,0.389804734672202,4.46131789057472,8.14571512635366e-06,0.00176726380738197
"Mlu_36640.mRNA1",615.751113926219,0.987055477934112,0.221665499987284,4.45025676557598,8.57676839266564e-06,0.00184922584605343
"Mlu_08492.mRNA1",641.607164046942,0.9007888239528,0.202576867519375,4.44336468095947,8.85628652216408e-06,0.00188606303094406
"Mlu_18717.mRNA1",445.517521481311,1.01401600784462,0.228033862826946,4.44405534218063,8.82788807700558e-06,0.00188606303094406
"Mlu_05361.mRNA1",451.558658649517,0.898631970884777,0.202364035812048,4.4401742972822,8.98860480262059e-06,0.00190256974703273
"Mlu_19276.mRNA1",22.5231362207096,-2.52307393516277,0.578984478794019,-4.43877331791387,9.04730413961976e-06,0.0019033882945371
"Mlu_01831.mRNA1",9.42744660255022,3.18147108063011,0.591044168778152,4.43344537350308,9.27390128136544e-06,0.00193930683843397
"Mlu_34727.mRNA1",14.688345049358,-2.82731820017144,0.586441143300001,-4.43146293634121,9.3595902690248e-06,0.00194550573059076
